X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
78.2,22.4,train,6.327784021053073E-4,92.56123161033746,0.9620459627125127
76.5,27.3,train,1.1006951541259023E-4,23.82062293715426,0.43393401100648454
82.4,23.6,train,2.593508303004225E-4,59.52472715098942,0.738366073170942
80.7,22.6,train,2.2814664350057326E-4,53.85012360634474,0.692563747172705
81.2,23.4,train,3.835181316579867E-4,77.2959862379182,0.8623081770690442
80.6,22.5,train,1.661453673395256E-4,38.964083263771585,0.5763930448471957
75.5,27.7,train,4.282483825674522E-5,6.7066815832906315,0.1986028724657385
89.0,22.0,train,1.8436624246971614E-4,43.60130277815313,0.6144748024187665
77.3,12.1,train,4.1651484020062277E-4,80.34467299258701,0.8839026031331911
78.9,16.1,train,5.909309814623295E-5,10.40843642938065,0.2632475890207048
76.6,11.7,train,5.871532465466522E-4,90.88460958072099,0.951949535027804
76.8,11.6,train,3.927796255415016E-4,78.24141973957076,0.8687456110391728
77.4,23.2,train,0.0028430448455157437,99.60685964828598,0.9999995863146633
76.3,11.8,train,3.291427794538358E-5,4.732505444013031,0.15647218230922944
77.7,23.2,train,3.153900876908266E-4,69.25612128563884,0.804173147587542
74.7,15.4,train,9.587979366506754E-5,20.04451050792312,0.3908469094213832
74.4,15.1,train,9.23372066591372E-5,19.17194962816797,0.3795876636262733
78.4,29.8,train,4.892171941300992E-4,86.06261121361821,0.9202762083320342
79.0,29.8,train,7.135827479572549E-4,94.57877583439198,0.9750061883188241
74.2,15.7,train,2.630133285835589E-4,60.162814759043115,0.7432734074468762
79.9,24.4,train,5.72952207492223E-4,90.33043739885206,0.94828906448503
80.8,23.8,train,5.485163255164586E-4,89.33049133822307,0.9413258351926214
78.7,29.4,train,2.90731818440017E-4,65.0963254953558,0.7775481208560625
76.8,10.1,train,5.9550139503525286E-5,10.527578278885628,0.26498636386921004
78.6,22.5,train,1.3632947202916933E-4,30.87239228271593,0.5057950997164036
73.7,16.1,train,5.8428839137326706E-5,10.227545581559534,0.2607131362022639
76.9,10.6,train,6.131704107091404E-4,92.03297625113231,0.9579967680730562
78.2,22.6,train,1.3989851691853712E-4,31.750444024899394,0.5148303002574905
78.6,29.7,test,6.328892266850078E-4,92.5673138832622,0.9620677021814796
79.8,24.7,test,2.6987613987451166E-4,61.677310546789045,0.7522223272401163
80.5,22.4,test,3.6588012123741736E-4,75.38108753782193,0.849162338822595
76.4,26.0,test,3.781312608968466E-4,76.79214596092463,0.8584196473062403
77.2,11.9,test,5.382018303948828E-6,0.290861405686743,0.02744078138273076
81.1,28.2,test,2.8221712424808916E-4,63.67345916720983,0.7675371027231399
78.5,20.3,test,1.728486660247329E-4,40.520721571263486,0.5908217507354474
80.4,22.3,test,2.467444972591275E-4,56.970459850730876,0.7207466734085592
79.3,21.7,test,2.6472541864176275E-4,60.519104192973124,0.745535738288946
81.0,23.8,test,9.73931295553487E-5,20.480782538624542,0.39559417199991376
79.7,29.6,test,1.7657171255125193E-4,41.43671821886875,0.5986221601836557
76.2,12.1,test,2.92528448464254E-5,3.9772172323219497,0.14035286410526926
76.4,12.2,test,8.424484229090181E-5,16.91504442433731,0.35308122016250476
76.4,11.6,test,4.359826890016499E-4,82.18261045269222,0.8950185884121901
78.6,19.8,test,1.2700093869889127E-4,28.591308882232735,0.48137686936974944
80.8,23.7,test,2.349664487275568E-4,54.96823866227834,0.7032143146060341
76.6,12.0,test,9.010188417174763E-5,18.45796192120226,0.37237639427104396
77.2,23.3,test,2.3077470087156044E-4,54.254137745275,0.696712544423467
79.9,24.6,test,2.3695335768712485E-4,55.36991651888492,0.7062473085727912
80.0,21.2,test,2.0134904871238414E-4,48.32864745500903,0.6468800765613529
79.4,19.9,test,3.771947257454868E-4,76.69286978343777,0.8577324868832701
79.0,21.2,test,1.727754270468236E-4,40.50290992535879,0.5906667919143823
80.8,22.5,test,1.3697457795010338E-4,31.03345386301655,0.5074405824634474
79.5,21.8,test,1.7266477011476604E-4,40.46774388194523,0.5904325529695735
78.7,29.8,test,3.5001755907976127E-4,73.67682169867064,0.8362711863333333
80.9,23.8,test,1.0052431348927805E-4,21.243315606501163,0.4052994078903529
76.3,26.0,test,3.970028282616988E-4,78.7647108916848,0.8715802816123916
79.4,21.8,test,5.781404603893231E-4,90.49210175459095,0.9496576482070468
78.9,29.8,test,3.2504352362760223E-4,70.65983992765575,0.813706405407539
77.0,10.2,test,9.014345582257601E-5,18.46810654580303,0.37251126855085304
78.5,20.0,test,2.2229313431988966E-4,52.719475183975796,0.6831179525468651
