Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.26087E-4,28.250949481,0.47891991,0.268447082,0.204724409,0.225806452
1.26745E-4,28.503768342,0.480690739,0.266468843,0.204724409,0.225806452
1.27488E-4,28.757901936,0.482681855,0.264490603,0.204724409,0.258064516
1.28528E-4,29.001212267,0.485454502,0.262611276,0.204724409,0.258064516
1.29259E-4,29.259100237,0.48739599,0.260633037,0.204724409,0.258064516
1.30115E-4,29.505557265,0.489659836,0.258753709,0.204724409,0.258064516
1.31706E-4,29.754492488,0.49384057,0.256874382,0.212598425,0.258064516
1.32676E-4,30.005753224,0.496370615,0.254995054,0.212598425,0.258064516
1.33832E-4,30.259023853,0.499371987,0.253115727,0.220472441,0.258064516
1.34661E-4,30.500764465,0.501513297,0.251335312,0.220472441,0.258064516
1.35865E-4,30.757856581,0.504606453,0.249455984,0.228346457,0.258064516
1.36861E-4,31.003463532,0.507152119,0.247675569,0.236220472,0.258064516
1.37797E-4,31.250614936,0.509530206,0.245895153,0.236220472,0.290322581
1.38864E-4,31.513433763,0.512229453,0.244015826,0.236220472,0.290322581
1.39899E-4,31.7505547,0.5148303,0.242334322,0.236220472,0.290322581
1.40856E-4,32.003285822,0.517224743,0.240553907,0.244094488,0.290322581
1.41602E-4,32.257647723,0.519084076,0.238773492,0.244094488,0.290322581
1.42662E-4,32.51345569,0.521711372,0.236993076,0.244094488,0.290322581
1.43493E-4,32.756889027,0.523762469,0.235311573,0.244094488,0.290322581
1.4415E-4,33.001283757,0.525376804,0.233630069,0.244094488,0.290322581
1.45185E-4,33.261679024,0.527911424,0.231849654,0.244094488,0.290322581
1.46092E-4,33.509270441,0.530120273,0.23016815,0.244094488,0.290322581
1.46866E-4,33.758439208,0.531994531,0.228486647,0.244094488,0.290322581
1.4746E-4,34.008606473,0.533431177,0.226805143,0.244094488,0.290322581
1.48575E-4,34.260275401,0.536112024,0.22512364,0.244094488,0.290322581
1.49649E-4,34.513846918,0.53868182,0.223442136,0.244094488,0.290322581
1.50812E-4,34.75422543,0.541446097,0.221859545,0.244094488,0.290322581
1.51422E-4,35.011041047,0.542890033,0.220178042,0.244094488,0.290322581
1.51904E-4,35.253675504,0.544028616,0.21859545,0.244094488,0.290322581
1.53061E-4,35.512745461,0.54674781,0.216913947,0.244094488,0.290322581
1.53768E-4,35.758314222,0.548401719,0.215331355,0.244094488,0.290322581
1.54672E-4,36.004997358,0.55050654,0.213748764,0.244094488,0.290322581
1.55096E-4,36.252810977,0.551489852,0.212166172,0.244094488,0.290322581
1.56239E-4,36.502019612,0.554132735,0.210583581,0.244094488,0.290322581
1.57604E-4,36.753268757,0.557268241,0.209000989,0.244094488,0.290322581
1.58355E-4,37.006109745,0.558983144,0.207418398,0.244094488,0.290322581
1.59156E-4,37.260091771,0.560806535,0.205835806,0.244094488,0.290322581
1.60241E-4,37.515575661,0.563262411,0.204253215,0.244094488,0.290322581
1.61461E-4,37.757145031,0.566008491,0.202769535,0.244094488,0.290322581
1.62587E-4,38.000312543,0.568527939,0.201285856,0.244094488,0.290322581
1.63532E-4,38.26116707,0.570630985,0.199703264,0.25984252,0.290322581
1.64087E-4,38.506924804,0.571860663,0.198219585,0.25984252,0.290322581
1.65506E-4,38.753898001,0.57499056,0.196735905,0.25984252,0.290322581
1.66263E-4,39.002753759,0.576651029,0.195252226,0.267716535,0.290322581
1.67237E-4,39.253019499,0.578776291,0.193768546,0.275590551,0.290322581
1.68326E-4,39.504840063,0.581142693,0.192284866,0.275590551,0.290322581
1.69365E-4,39.758102468,0.583386403,0.190801187,0.291338583,0.290322581
1.70328E-4,40.012855123,0.585453676,0.189317507,0.291338583,0.290322581
1.71988E-4,40.252475222,0.588996363,0.18793274,0.291338583,0.290322581
1.72775E-4,40.502806068,0.590666792,0.18644906,0.299212598,0.322580645
1.73807E-4,40.753787432,0.59284407,0.185064293,0.299212598,0.387096774
1.74921E-4,41.015294411,0.595182082,0.183580613,0.31496063,0.387096774
1.756E-4,41.260757189,0.596599972,0.182195846,0.31496063,0.387096774
1.76962E-4,41.507392804,0.599430736,0.180811078,0.31496063,0.419354839
1.77627E-4,41.755525239,0.600805334,0.179426311,0.31496063,0.419354839
1.78512E-4,42.004991007,0.602627876,0.178041543,0.322834646,0.419354839
1.79616E-4,42.255951625,0.604889377,0.176656775,0.322834646,0.419354839
1.80591E-4,42.508268531,0.606877147,0.175272008,0.322834646,0.419354839
1.81164E-4,42.761500566,0.608039739,0.17388724,0.330708661,0.419354839
1.82231E-4,43.016076227,0.610194969,0.172502473,0.330708661,0.419354839
1.83374E-4,43.253939897,0.612492226,0.171216617,0.330708661,0.419354839
1.84162E-4,43.511409281,0.614068414,0.16983185,0.330708661,0.419354839
1.84707E-4,43.751280822,0.615152764,0.168545994,0.338582677,0.419354839
1.85318E-4,44.010303487,0.616367789,0.167161227,0.338582677,0.419354839
1.86184E-4,44.251814984,0.618080795,0.165875371,0.338582677,0.419354839
1.8721E-4,44.513257701,0.620101304,0.164490603,0.346456693,0.419354839
1.88038E-4,44.757201313,0.621724785,0.163204748,0.346456693,0.419354839
1.89011E-4,45.002491771,0.623622716,0.161918892,0.346456693,0.419354839
1.89748E-4,45.267597065,0.625052959,0.160534125,0.346456693,0.419354839
