x,y,raw,cumulative,Cloglog
92.25,21.85,2.10598E-5,2.485265158,0.103158764
69.45,9.35,5.00531E-5,8.36260705,0.227997803
83.55,16.55,4.20717E-5,6.555444112,0.195476376
81.35,15.15,6.54772E-6,0.390465423,0.033284308
79.45,10.55,5.62255E-7,0.009107925,0.002902564
85.45,22.55,7.00474E-6,0.430617597,0.035565709
86.95,10.55,6.60827E-6,0.394418909,0.033586882
70.65,22.35,1.17355E-4,25.787256109,0.454857472
91.95,9.15,1.33598E-6,0.03045465,0.006883056
69.75,15.05,4.91947E-6,0.247222608,0.025112282
77.45,35.75,3.32628E-5,4.807480238,0.157990769
92.65,11.55,7.20184E-6,0.444136237,0.036547917
91.65,16.950000000000003,6.59468E-5,11.897355042,0.288895765
86.85,22.25,1.2831E-5,1.165261838,0.064182149
77.85,35.75,4.38957E-5,6.968637158,0.203027351
90.85,13.15,5.57308E-6,0.309398963,0.028400984
86.25,19.35,3.5577E-5,5.217340039,0.168004439
78.15,35.75,1.36225E-5,1.297642133,0.068003521
78.25,35.75,7.68517E-6,0.498596126,0.038952353
94.75,9.65,3.99577E-6,0.168444625,0.020445712
78.45,35.75,1.68991E-5,1.849781714,0.083658267
76.45,19.75,1.4426E-5,1.441924183,0.071867131
69.05,14.850000000000001,8.14695E-5,16.198537712,0.343732388
76.05,10.25,1.04774E-5,0.853202763,0.052725781
77.35,14.65,4.67626E-5,7.639439509,0.214752439
84.85,9.95,4.17189E-8,0.000180862,0.000215658
80.05,20.950000000000003,1.20464E-4,26.714027883,0.463549166
91.55,19.55,7.35433E-5,13.964582558,0.316281601
90.85,19.950000000000003,9.31839E-5,19.403967999,0.38229743
85.35,10.95,9.07611E-6,0.650461628,0.045838455
92.75,35.75,8.2726E-7,0.016213034,0.00426769
95.75,22.25,3.26197E-4,70.743796024,0.814814252
69.75,10.45,3.05143E-5,4.242428267,0.145940688
76.55,35.650000000000006,1.19581E-4,26.497923962,0.46109721
89.05,22.450000000000003,6.4845E-6,0.381356194,0.032968273
71.05,11.85,1.97188E-5,2.291271365,0.096919421
94.05,8.75,8.58731E-6,0.589369156,0.043424177
70.55,16.75,3.68492E-5,5.431226782,0.173458729
93.05,20.15,4.18643E-5,6.521873886,0.194613376
81.75,8.25,1.8426E-5,2.115840693,0.09086327
90.05,11.45,7.583E-6,0.48559556,0.038444602
77.95,8.15,2.04006E-5,2.379600398,0.100097226
89.65,14.95,1.72723E-5,1.913006586,0.085424815
77.55,35.650000000000006,7.12303E-5,13.29753447,0.308056698
80.45,11.25,8.98886E-6,0.63330224,0.045407957
69.55,20.35,4.0233E-6,0.174057053,0.020585106
89.95,16.05,1.62725E-5,1.757066609,0.080685109
68.75,11.95,1.7552E-4,41.190522705,0.596434019
78.05,35.650000000000006,3.81247E-5,5.674813619,0.178891151
92.35,17.65,5.18205E-5,8.714012446,0.235019701
96.35,16.05,8.43364E-5,16.943991218,0.35338734
78.35,35.650000000000006,7.77871E-5,15.236198683,0.331118732
77.95,14.95,3.31489E-4,71.17196654,0.81981182
78.55,35.650000000000006,1.73131E-4,40.614962688,0.591417644
82.55,16.55,4.98765E-5,8.322598293,0.22729249
69.45,20.65,4.67077E-6,0.224171725,0.023858023
96.35,11.75,1.11741E-5,0.93027894,0.056131658
72.45,22.55,4.65907E-5,7.606750555,0.214054466
77.85,23.75,1.70816E-4,40.081119423,0.586498162
74.95,11.35,1.64759E-4,38.671355411,0.573345224
72.45,15.95,8.0966E-5,16.084828789,0.342021874
81.25,18.25,2.44838E-5,3.063782106,0.11889447
68.85,17.75,8.3607E-5,16.750951609,0.350944327
88.45,12.55,2.80361E-7,0.00318005,0.001448379
80.75,35.650000000000006,5.15772E-6,0.272964957,0.026312348
94.85,11.85,3.311E-5,4.777601704,0.157325274
76.55,35.55,1.76627E-5,1.989794702,0.08726868
76.65,35.55,1.77111E-5,2.000412269,0.087496967
75.15,18.55,6.4825E-5,11.642384683,0.28475954
90.55,15.55,1.26922E-5,1.143557488,0.06351052
72.55,8.65,6.79168E-6,0.409850595,0.034502772
75.45,15.95,2.8777E-5,3.883854094,0.138235665
77.15,35.55,4.01755E-5,6.116237089,0.187551001
86.45,16.75,6.85903E-5,12.611163946,0.29854803
80.55,18.25,8.33023E-5,16.65909818,0.349921258
77.45,35.55,7.50076E-5,14.440449271,0.321437772
90.65,19.25,2.89621E-5,3.909816339,0.139059951
77.95,19.450000000000003,6.29633E-5,11.291130217,0.277842283
91.95,22.950000000000003,2.99733E-6,0.10295617,0.015376354
94.45,21.65,4.62242E-5,7.490665265,0.212563712
85.15,19.05,2.38495E-5,2.957401678,0.116000574
95.65,22.25,2.90036E-5,3.915615009,0.139244452
77.95,11.85,6.93667E-5,12.762999682,0.301357752
86.15,12.15,2.42333E-5,3.022368442,0.117752524
77.55,15.45,5.58904E-5,9.68721521,0.25094735
70.35,10.65,8.36404E-5,16.759315653,0.351056648
84.15,15.850000000000001,3.71262E-6,0.150719179,0.019010718
84.35,11.25,1.1869E-6,0.026159627,0.006117323
96.25,19.65,1.30565E-5,1.195034946,0.065272731
87.25,18.950000000000003,2.77118E-5,3.649159756,0.133476481
83.65,18.85,5.54687E-6,0.306060836,0.028269302
80.15,35.55,1.26704E-5,1.135946467,0.06340476
93.15,12.15,1.16903E-5,1.010444042,0.058647059
80.35,35.55,3.04119E-6,0.106277371,0.0155996
75.35,21.55,2.81513E-5,3.735796884,0.135443242
75.85,19.65,7.38604E-5,14.038289473,0.317401297
77.25,16.950000000000003,1.17705E-4,25.881310672,0.455842584
78.65,21.950000000000003,9.15173E-6,0.661405119,0.046211394
72.65,8.95,1.44137E-4,32.986868798,0.525345157
71.55,21.75,1.24231E-4,27.800933072,0.47389646
95.05,23.05,9.24604E-5,19.181131741,0.379982551
89.45,11.25,1.8116E-7,0.001532314,0.000936136
80.25,15.350000000000001,2.26515E-5,2.764600343,0.110508592
88.05,17.950000000000003,6.35026E-5,11.38592157,0.279853165
86.95,9.85,8.63734E-6,0.595396229,0.043671585
76.05,13.45,4.33701E-5,6.837705926,0.200858927
96.65,22.950000000000003,1.98336E-5,2.303149147,0.097455271
92.25,11.95,2.70276E-6,0.087318394,0.013875725
95.15,9.05,1.73527E-5,1.933778232,0.085804576
77.55,35.45,3.11414E-5,4.384511023,0.148705454
94.75,10.25,1.57021E-6,0.039250972,0.008084913
77.75,35.45,1.74936E-4,41.050280886,0.595213606
94.65,11.05,3.93643E-5,5.980936042,0.184136454
86.05,9.75,7.43669E-6,0.469074917,0.037716988
94.95,20.25,2.57714E-5,3.29806534,0.124740323
83.85,15.95,3.02178E-5,4.190769168,0.14463067
93.55,22.05,2.22144E-5,2.683916073,0.108496326
78.35,35.45,8.2146E-6,0.545560452,0.041579238
78.45,35.45,7.67759E-5,14.9114558,0.327612756
75.65,12.25,7.33517E-5,13.898451251,0.315603739
75.35,15.45,5.65224E-5,9.810806628,0.253390544
73.85,16.15,7.65636E-6,0.495526052,0.038809197
78.85,35.45,2.73982E-6,0.089497323,0.014064668
73.15,19.15,4.97775E-5,8.287711911,0.226897009
84.55,9.35,6.58719E-6,0.392439449,0.033481538
73.15,15.15,9.65662E-5,20.228789028,0.393004892
76.55,35.35,1.4874E-5,1.522658878,0.074014376
82.95,17.950000000000003,6.77454E-5,12.379287303,0.295477124
81.45,17.55,1.12451E-4,24.434885062,0.440861528
76.85,35.35,8.76488E-6,0.609335607,0.044301918
81.25,20.55,2.47943E-4,57.275286487,0.72247129
80.15,16.55,4.70862E-5,7.695782674,0.216065225
68.65,20.75,1.2636E-10,0.000000077,0.000000653
71.25,16.25,6.96051E-5,12.846393706,0.302218426
77.35,35.35,3.28098E-5,4.691896351,0.156016603
88.35,15.75,2.43948E-6,0.073662969,0.01253259
77.55,35.35,2.20837E-5,2.663966171,0.107893577
69.35,20.55,2.20404E-7,0.002210161,0.001138811
70.65,10.45,3.00397E-4,66.838926752,0.788389983
88.65,22.950000000000003,8.07521E-5,16.028218509,0.341293825
77.95,35.35,1.40319E-4,31.8626776,0.515884795
94.55,15.65,9.37877E-5,19.590943472,0.384222618
95.75,21.55,1.31646E-4,29.741321864,0.493682155
78.25,35.35,2.14223E-4,51.1426134,0.669617857
93.25,14.350000000000001,3.30975E-4,71.072583332,0.819332385
81.15,19.55,3.14622E-5,4.450285741,0.150116078
79.25,8.85,1.48723E-5,1.521171478,0.074006473
80.25,9.95,2.66115E-6,0.084904274,0.013663576
96.25,22.55,4.95305E-6,0.250185398,0.025281519
92.85,17.15,1.87662E-4,44.625717343,0.620987548
94.35,9.25,7.31493E-6,0.453592913,0.037111066
80.45,35.35,1.09684E-10,0.000000064,0.000000567
76.45,35.25,2.33194E-6,0.067451419,0.011983443
92.05,21.25,3.44208E-5,5.000376316,0.163016451
89.55,17.65,1.2704E-4,28.643357577,0.481481565
71.45,9.55,3.98743E-4,79.001171295,0.872730611
82.45,11.35,4.59804E-7,0.006468448,0.0023743
81.15,9.25,3.19571E-5,4.529762678,0.152287685
77.05,35.25,2.60511E-5,3.349940367,0.126005207
89.35,8.65,7.72682E-7,0.014843814,0.003986692
69.85,8.55,1.47903E-5,1.503361136,0.073613769
75.85,14.850000000000001,1.4849E-4,34.230561901,0.535908373
73.05,20.25,1.30535E-4,29.544656004,0.490766527
77.55,35.25,5.5803E-5,9.670451846,0.250608624
82.95,11.05,8.97189E-6,0.631505314,0.045324199
94.35,20.65,3.87634E-5,5.828754326,0.181597792
74.25,9.95,4.14916E-4,80.140599901,0.88293913
76.55,11.85,5.78702E-4,90.566783804,0.949803486
71.75,21.25,1.43477E-4,32.728191124,0.52372346
93.55,23.35,7.44158E-6,0.471306703,0.037741344
96.35,8.25,5.30369E-6,0.287567996,0.027046849
78.35,35.25,5.97734E-6,0.342829917,0.030429462
68.05,16.35,2.47776E-5,3.103183729,0.120231813
90.25,18.25,3.37477E-5,4.891221966,0.160098823
78.65,35.25,2.18092E-5,2.626648406,0.106626531
82.55,13.350000000000001,9.70725E-6,0.740443433,0.048946711
71.95,20.85,1.25191E-4,28.100133335,0.476502281
78.95,35.25,4.21493E-7,0.005937579,0.002176687
83.85,23.65,1.99881E-4,47.919118808,0.644189211
92.15,17.05,4.31233E-5,6.759836047,0.199838599
90.65,15.25,5.1104E-6,0.268337562,0.026074133
89.45,15.45,1.22627E-5,1.083470493,0.061428931
73.75,19.25,1.2808E-4,28.885706321,0.484260969
92.15,10.35,1.09752E-5,0.904751621,0.055160618
96.65,23.65,3.16085E-6,0.112810724,0.016208386
83.15,18.05,4.02815E-5,6.136357538,0.187996125
73.45,11.75,1.57666E-4,36.784801045,0.557409839
80.25,22.950000000000003,1.27032E-4,28.617949881,0.48146097
93.25,20.05,1.13822E-5,0.955103675,0.057146571
